task_id,dataset_id,dataset_name,target_column,model,n_samples,n_features,n_classes,accuracy,balanced_accuracy,f1_score,precision,recall,training_time,status,error,data_source,metrics_complete,numeric_features,categorical_features,missing_percentage
45,46,splice,Class,RandomForest,3190.0,60.0,3.0,0.9482758620689656,0.9411619388516492,0.9483446523068124,0.948469268540694,0.9482758620689656,0.4199628829956054,success,,openml,True,0,60,0.0
45,46,splice,Class,KNN,3190.0,60.0,3.0,0.6692789968652038,0.6971039445715116,0.67361862880236,0.7428972606467477,0.6692789968652038,0.0433192253112793,success,,openml,True,0,60,0.0
45,46,splice,Class,SVM,3190.0,60.0,3.0,0.8526645768025078,0.8471676320441205,0.8529842722692372,0.8540833586818872,0.8526645768025078,1.3920907974243164,success,,openml,True,0,60,0.0
45,46,splice,Class,XGBoost,3190.0,60.0,3.0,0.957680250783699,0.9530339402384898,0.9577531182044484,0.9579269699959472,0.957680250783699,0.4227163791656494,success,,openml,True,0,60,0.0
49,50,tic-tac-toe,Class,LogisticRegression,958.0,9.0,2.0,0.671875,0.574865671641791,0.6304453733970329,0.6478459362139918,0.671875,0.0133354663848876,success,,openml,True,0,9,0.0
49,50,tic-tac-toe,Class,DecisionTree,958.0,9.0,2.0,0.8958333333333334,0.8749850746268657,0.8946126302083334,0.8953484127977308,0.8958333333333334,0.0115110874176025,success,,openml,True,0,9,0.0
49,50,tic-tac-toe,Class,RandomForest,958.0,9.0,2.0,0.9583333333333334,0.9402985074626866,0.9576565768426234,0.9608395989974936,0.9583333333333334,0.3402731418609619,success,,openml,True,0,9,0.0
49,50,tic-tac-toe,Class,KNN,958.0,9.0,2.0,0.8854166666666666,0.8392835820895522,0.8796093242365172,0.8982865615064807,0.8854166666666666,0.0222334861755371,success,,openml,True,0,9,0.0
49,50,tic-tac-toe,Class,SVM,958.0,9.0,2.0,0.8697916666666666,0.8134328358208955,0.8607780789546844,0.8914930555555557,0.8697916666666666,0.087944746017456,success,,openml,True,0,9,0.0
49,50,tic-tac-toe,Class,XGBoost,958.0,9.0,2.0,1.0,1.0,1.0,1.0,1.0,0.1393702030181884,success,,openml,True,0,9,0.0
53,54,vehicle,Class,LogisticRegression,846.0,18.0,4.0,0.8176470588235294,0.8178841991341992,0.8115374399379234,0.8153003029335376,0.8176470588235294,0.0371809005737304,success,,openml,True,18,0,0.0
53,54,vehicle,Class,DecisionTree,846.0,18.0,4.0,0.7176470588235294,0.717288961038961,0.7216942417206793,0.731921393287503,0.7176470588235294,0.0183122158050537,success,,openml,True,18,0,0.0
53,54,vehicle,Class,RandomForest,846.0,18.0,4.0,0.7470588235294118,0.7483495670995671,0.7378615918679572,0.7360388504063259,0.7470588235294118,0.3715052604675293,success,,openml,True,18,0,0.0
53,54,vehicle,Class,KNN,846.0,18.0,4.0,0.7235294117647059,0.7219155844155845,0.7220759819079147,0.7279194576381277,0.7235294117647059,0.0231409072875976,success,,openml,True,18,0,0.0
53,54,vehicle,Class,SVM,846.0,18.0,4.0,0.7647058823529411,0.7653679653679653,0.7609787810305112,0.7620677151442911,0.7647058823529411,0.078101634979248,success,,openml,True,18,0,0.0
53,54,vehicle,Class,XGBoost,846.0,18.0,4.0,0.7647058823529411,0.7659361471861472,0.762730087250211,0.7644521337946942,0.7647058823529411,0.673438549041748,success,,openml,True,18,0,0.0
219,151,electricity,class,LogisticRegression,45312.0,8.0,2.0,0.7567030784508441,0.7364101434571233,0.7506756247275239,0.7592681997456883,0.7567030784508441,0.0779328346252441,success,,openml,True,7,1,0.0
